"nbPassengers","operatingAirline","bookingStatus","originAirport","destinationAirport","departureDate","arrivalDate"
2,"kl","confirmed","pty","ams","2019-03-25T18:45:00Z","2019-03-26T10:55:00Z"
1,"kl","confirmed","nbo","ams","2019-05-10T23:40:00Z","2019-05-11T06:55:00Z"
1,"kq","confirmed","nbo","fbm","2019-03-19T12:40:00Z","2019-03-19T14:10:00Z"
1,"kl","confirmed","ams","kul","2019-05-09T20:50:00Z","2019-05-10T14:50:00Z"
1,"kl","confirmed","ams","bru","2019-06-17T08:55:00Z","2019-06-17T09:40:00Z"
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
2,"kl","confirmed","ams","mex","2019-04-05T14:30:00Z","2019-04-05T17:55:00Z"
1,"af","confirmed","hav","cdg","2019-06-04T22:55:00Z","2019-06-05T14:05:00Z"
1,"af","confirmed","cdg","hav","2019-04-30T16:40:00Z","2019-04-30T20:35:00Z"
3,"kl","confirmed","iah","ams","2019-03-17T16:35:00Z","2019-03-18T07:50:00Z"
3,"kl","confirmed","ams","iah","2019-03-24T10:05:00Z","2019-03-24T14:40:00Z"
1,"a5","confirmed","bod","lys","2019-03-28T14:15:00Z","2019-03-28T15:25:00Z"
1,"a5","confirmed","lys","bod","2019-03-21T20:25:00Z","2019-03-21T21:30:00Z"
1,"kq","confirmed","nbo","hre","2019-03-14T07:40:00Z","2019-03-14T11:25:00Z"
1,"ek","confirmed","hre","lun","2019-03-17T18:25:00Z","2019-03-17T19:30:00Z"
1,"mu","confirmed","ams","pvg","2019-05-10T12:40:00Z","2019-05-11T05:45:00Z"
1,"kl","confirmed","pvg","ams","2019-02-16T00:15:00Z","2019-02-16T05:20:00Z"
1,"kl","confirmed","nbo","ams","2019-05-10T23:40:00Z","2019-05-11T06:55:00Z"
1,"kl","confirmed","bod","ams","2019-03-18T12:30:00Z","2019-03-18T14:20:00Z"
1,"af","confirmed","cdg","hnd","2019-03-23T23:20:00Z","2019-03-24T19:25:00Z"
1,"af","confirmed","hnd","cdg","2019-03-18T23:50:00Z","2019-03-19T04:50:00Z"
2,"af","confirmed","eze","cdg","2020-02-22T14:35:00Z","2020-02-23T07:50:00Z"
2,"af","confirmed","cdg","scl","2020-02-07T23:40:00Z","2020-02-08T09:10:00Z"
1,"af","confirmed","cdg","tlv","2019-03-09T17:55:00Z","2019-03-09T23:25:00Z"
1,"af","confirmed","tlv","cdg","2019-03-17T18:10:00Z","2019-03-17T22:20:00Z"
4,"kl","confirmed","ams","xmn","2019-03-17T16:45:00Z","2019-03-18T10:50:00Z"
4,"cz","confirmed","xmn","can","2019-03-18T14:30:00Z","2019-03-18T16:10:00Z"
1,"af","confirmed","ist","cdg","2019-05-23T04:15:00Z","2019-05-23T06:55:00Z"
1,"kk","confirmed","cdg","ist","2019-06-13T14:45:00Z","2019-06-13T19:20:00Z"
